OBJECTID,STOPNAME,SHAPE,STOPID,STOPABBR,BENCH,SHELTER,ROUTES,COUNTY,LON,LAT
2561,AMTRAK STATION & ML KING-FRENCH,"(39.737306000000046, -75.55133999999998)",60,0122,0,1,"2, 6, 10, 11, 18, 20, 28, 31, 33, 34, 35, 38, 40, 45, 48, 52, 54, 55, 59, 301, 305",,-75551340,39737306
2562,10TH ST @ MARKET ST,"(39.745513000000074, -75.54746199999994)",61,1000,1,1,"10, 16, 18, 20, 38, 45, 301",,-75547462,39745513
2563,DEL RT 1 & TANGER OUTLET SEASIDE,"(38.71713700000004, -75.11123799999996)",410,100S,1,1,"201, 203, 206, 207, 215, 305",,-75111238,38717137
2564,FZ: 10TH ST BTWN  POPLAR ST AND WEST ST,"(38.55033800000007, -75.57248099999998)",3902,10DE,0,0,212,,-75572481,38550338
2565,DEL RT 10 @ LIBERTO IND PARK,"(39.11952800000006, -75.50263799999993)",3279,10LI,0,0,105,,-75502638,39119528
2566,DEL RT 10 & MOORES LAKE SC,"(39.117691000000036, -75.51672299999996)",3640,10MO,1,1,"105, 303",,-75516723,39117691
2567,DEL RT 10 & OP MOORES LAKE SC,"(39.11812900000007, -75.51632699999993)",363,10OM,0,0,"105, 303",,-75516327,39118129
2568,DEL RT 10 OP RT 10 PLAZA,"(39.11813200000006, -75.51304699999997)",3278,10PE,0,0,105,,-75513047,39118132
2569,DEL RT 10 @ RT 10 PLAZA,"(39.11813700000005, -75.50808599999993)",3281,10PL,0,0,105,,-75508086,39118137
2570,10TH ST & CLIFFORD BROWN WALK,"(39.74389700000006, -75.54361899999998)",2262,10PO,0,0,4,,-75543619,39743897
2571,10TH ST & TATNALL ST,"(39.74687400000005, -75.55016099999995)",3970,10TA,0,0,"2, 6, 10, 28, 35, 52",,-75550161,39746874
2572,10TH ST & WALNUT ST,"(39.744327000000055, -75.54470299999997)",2263,10WA,0,0,4,,-75544703,39744327
2573,10TH ST & KIRKWOOD ST,"(39.742721000000074, -75.54077199999995)",2260,10WK,1,1,4,,-75540772,39742721
2574,10TH ST & LOMBARD ST,"(39.74346200000008, -75.54260599999998)",2261,10WL,0,0,4,,-75542606,39743462
2575,DEL RT 10 @ WAWA,"(39.12253700000008, -75.50068799999997)",3639,10WW,0,0,105,,-75500688,39122537
2576,11TH ST & KING ST,"(39.74612900000005, -75.54662699999994)",4,1100,1,1,"4, 9, 14, 16, 18, 20, 38, 45, 301",,-75546627,39746129
2577,BAY RD & BLUE HEN MALL,"(39.15211700000003, -75.50311099999993)",372,113B,1,0,"106, 107",,-75503111,39152117
2578,PRESIDENT DR @ BAY RD,"(39.14419000000004, -75.49934799999994)",562,113C,1,1,107,,-75499348,39144190
2579,US113 @ CICADIA LN (RD403),"(38.96606000000003, -75.43234799999993)",3604,113D,0,0,303,,-75432348,38966060
2580,BAY RD & IMPERIAL SC,"(39.138183000000026, -75.49602499999997)",2785,113I,0,0,106,,-75496025,39138183
2581,US 113 @ JOHNSON RD,"(38.86848900000007, -75.43958999999995)",3629,113J,0,0,303,,-75439590,38868489
2582,BAY RD & KINGS CLIFF TP,"(39.13911100000007, -75.49596299999996)",2809,113K,0,0,106,,-75495963,39139111
2583,US RT 113/SR1 @ KELLER AVE,"(38.954792000000054, -75.42702299999996)",3605,113L,0,0,303,,-75427023,38954792
2584,11TH ST & CLIFFORD BROWN WALK,"(39.74468000000007, -75.54290899999995)",2203,11EP,0,0,4,,-75542909,39744680
2585,11TH ST & SPRUCE ST,"(39.74354100000005, -75.54004299999997)",2205,11ES,0,0,4,,-75540043,39743541
2586,11TH ST & PINE ST,"(39.74395400000003, -75.54115399999995)",2204,11PI,0,0,4,,-75541154,39743954
2587,11TH ST & TATNALL ST,"(39.74729800000006, -75.54953599999999)",466,11TA,0,0,"11, 12, 16, 18, 20, 38, 45, 301",,-75549536,39747298
2588,11TH ST & BENNETT ST,"(39.743471000000056, -75.53911999999997)",2259,11WB,0,0,4,,-75539120,39743471
2589,11TH ST @ WEST ST,"(39.74770900000004, -75.55038899999994)",3362,11WS,1,1,"12, 16, 38, 45, 301",,-75550389,39747709
2590,12TH ST AT ORANGE ST,"(39.74786800000004, -75.54766699999993)",3860,12OR,0,0,"11, 12",,-75547667,39747868
2591,12TH ST & WASHINGTON ST,"(39.74921100000006, -75.55085899999995)",1086,12WA,1,1,"6, 10, 16, 20, 28, 33, 34, 38, 40, 42, 45, 52, 54, 55, 301",,-75550859,39749211
2592,US RT 13 & DE AGRICULTURAL MUSEUM,"(39.18277400000005, -75.53200099999998)",2852,13AG,0,0,109,,-75532001,39182774
2593,US RT13 @ RUBEON MAY ALLENS TP,"(39.03445700000003, -75.56104899999997)",3753,13AT,0,0,117,,-75561049,39034457
2594,US RT13 @ SMYRNA LEPSIC RD,"(39.29214300000007, -75.59675099999998)",482,13BE,0,0,120,,-75596751,39292143
2595,US RT13 & SMYRNA LEPSIC RD,"(39.29091400000004, -75.59653899999995)",476,13BL,0,0,120,,-75596539,39290914
2596,US RT 13 @ BIG OAK RD,"(39.26934700000004, -75.58842799999996)",3800,13BO,0,0,120,,-75588428,39269347
2597,US RT13 @ CORN CRIB RD,"(38.91552600000006, -75.56888099999998)",3760,13CC,0,0,117,,-75568881,38915526
2598,US RT 13 AT CRESTWOOD DR,"(39.05492900000007, -75.55567899999994)",3768,13CD,0,0,117,,-75555679,39054929
